Twin_Timestamp,Node_ID,Node_Type,Inventory_Level,Inventory_Status,Supplier_Status,Shipment_Status,Current_Demand,Expected_Demand,Current_Lead_Time,Expected_Lead_Time,Route_Status,Disruption_Status
2026-09-18T14:00:00+05:30,S001,Supplier,0,N/A,ONLINE,N/A,0,0.0,2,2,N/A,NONE
2026-09-18T14:00:00+05:30,S001,Supplier,0,N/A,ONLINE,N/A,0,0.0,6,6,N/A,NONE
2026-09-18T14:00:00+05:30,S001,Supplier,0,N/A,ONLINE,N/A,0,0.0,5,5,N/A,NONE
2026-09-18T14:00:00+05:30,S002,Supplier,0,N/A,ONLINE,N/A,0,0.0,3,3,N/A,NONE
2026-09-18T14:00:00+05:30,S002,Supplier,0,N/A,ONLINE,N/A,0,0.0,8,8,N/A,NONE
2026-09-18T14:00:00+05:30,S002,Supplier,0,N/A,ONLINE,N/A,0,0.0,3,3,N/A,NONE
2026-09-18T14:00:00+05:30,S002,Supplier,0,N/A,ONLINE,N/A,0,0.0,5,5,N/A,NONE
2026-09-18T14:00:00+05:30,S002,Supplier,0,N/A,ONLINE,N/A,0,0.0,9,9,N/A,NONE
2026-09-18T14:00:00+05:30,S002,Supplier,0,N/A,ONLINE,N/A,0,0.0,3,3,N/A,NONE
2026-09-18T14:00:00+05:30,S003,Supplier,0,N/A,ONLINE,N/A,0,0.0,3,3,N/A,NONE
2026-09-18T14:00:00+05:30,S003,Supplier,0,N/A,ONLINE,N/A,0,0.0,7,7,N/A,NONE
2026-09-18T14:00:00+05:30,S003,Supplier,0,N/A,ONLINE,N/A,0,0.0,5,5,N/A,NONE
2026-09-18T14:00:00+05:30,S003,Supplier,0,N/A,ONLINE,N/A,0,0.0,2,2,N/A,NONE
2026-09-18T14:00:00+05:30,S004,Supplier,0,N/A,ONLINE,N/A,0,0.0,9,9,N/A,NONE
2026-09-18T14:00:00+05:30,S004,Supplier,0,N/A,ONLINE,N/A,0,0.0,6,6,N/A,NONE
2026-09-18T14:00:00+05:30,S004,Supplier,0,N/A,ONLINE,N/A,0,0.0,6,6,N/A,NONE
2026-09-18T14:00:00+05:30,S005,Supplier,0,N/A,ONLINE,N/A,0,0.0,4,4,N/A,NONE
2026-09-18T14:00:00+05:30,S005,Supplier,0,N/A,ONLINE,N/A,0,0.0,4,4,N/A,NONE
2026-09-18T14:00:00+05:30,S005,Supplier,0,N/A,ONLINE,N/A,0,0.0,4,4,N/A,NONE
2026-09-18T14:00:00+05:30,S005,Supplier,0,N/A,ONLINE,N/A,0,0.0,8,8,N/A,NONE
2026-09-18T14:00:00+05:30,S005,Supplier,0,N/A,ONLINE,N/A,0,0.0,2,2,N/A,NONE
2026-09-18T14:00:00+05:30,S006,Supplier,0,N/A,ONLINE,N/A,0,0.0,3,3,N/A,NONE
2026-09-18T14:00:00+05:30,S006,Supplier,0,N/A,ONLINE,N/A,0,0.0,2,2,N/A,NONE
2026-09-18T14:00:00+05:30,S006,Supplier,0,N/A,ONLINE,N/A,0,0.0,6,6,N/A,NONE
2026-09-18T14:00:00+05:30,S007,Supplier,0,N/A,ONLINE,N/A,0,0.0,9,9,N/A,NONE
2026-09-18T14:00:00+05:30,S007,Supplier,0,N/A,ONLINE,N/A,0,0.0,8,8,N/A,NONE
2026-09-18T14:00:00+05:30,S007,Supplier,0,N/A,ONLINE,N/A,0,0.0,2,2,N/A,NONE
