Plan_ID,Supplier_ID,Warehouse_ID,Product_ID,Allocated_Quantity,Route_ID,Unit_Purchase_Cost,Distance_km,Transport_Mode,Plan_Status
BASELINE_TEMPLATE,S001,W03,P007,0,R040,60.37,342.4,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S001,W03,P005,0,R040,729.26,342.4,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S001,W03,P006,0,R040,187.03,342.4,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S002,W03,P009,0,R026,230.61,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S002,W03,P010,0,R026,364.29,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S002,W03,P002,0,R026,2.53,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S002,W03,P008,0,R026,29.9,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S002,W03,P005,0,R026,868.31,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S002,W03,P007,0,R026,50.56,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S003,W01,P005,0,R033,731.07,342.4,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S003,W02,P005,0,R024,731.07,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S003,W01,P008,0,R033,31.24,342.4,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S003,W02,P008,0,R024,31.24,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S003,W01,P006,0,R033,149.51,342.4,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S003,W02,P006,0,R024,149.51,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S003,W01,P003,0,R033,1.06,342.4,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S003,W02,P003,0,R024,1.06,269.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S006,W05,P006,0,R002,186.27,141.8,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S006,W05,P003,0,R002,1.24,141.8,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S006,W05,P002,0,R002,2.44,141.8,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S007,W02,P006,0,R007,147.76,167.9,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S007,W02,P003,0,R007,1.01,167.9,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S007,W02,P009,0,R007,232.45,167.9,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S007,W02,P004,0,R007,439.5,167.9,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S007,W02,P008,0,R007,32.45,167.9,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S008,W02,P005,0,R016,912.84,207.5,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S008,W02,P001,0,R016,8.08,207.5,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S008,W02,P002,0,R016,2.29,207.5,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S009,W02,P009,0,R013,197.87,172.7,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S009,W03,P009,0,R003,197.87,151.1,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S009,W02,P001,0,R013,8.67,172.7,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S009,W03,P001,0,R003,8.67,151.1,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S009,W02,P010,0,R013,325.22,172.7,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S009,W03,P010,0,R003,325.22,151.1,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S015,W03,P005,0,R045,780.6,350.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S015,W03,P004,0,R045,429.16,350.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S015,W03,P002,0,R045,2.8,350.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S015,W03,P006,0,R045,192.77,350.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S015,W03,P009,0,R045,223.59,350.3,Truck,NOT_OPTIMIZED
BASELINE_TEMPLATE,S015,W03,P008,0,R045,27.47,350.3,Truck,NOT_OPTIMIZED
